title,price,star_rating,availability,category
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,In stock,NonFiction
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,In stock,NonFiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three,In stock,NonFiction
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One,In stock,NonFiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One,In stock,NonFiction
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four,In stock,NonFiction
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two,In stock,NonFiction
In the Country We Love: My Family Divided,£22.00,Four,In stock,NonFiction
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,Two,In stock,NonFiction
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,Five,In stock,NonFiction
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,One,In stock,NonFiction
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,Two,In stock,NonFiction
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,Two,In stock,NonFiction
The Genius of Birds,£17.24,One,In stock,NonFiction
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,Five,In stock,NonFiction
So You've Been Publicly Shamed,£12.23,Two,In stock,NonFiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",£19.43,Three,In stock,NonFiction
Big Magic: Creative Living Beyond Fear,£30.80,Three,In stock,NonFiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,£27.43,Two,In stock,NonFiction
Agnostic: A Spirited Manifesto,£12.51,Five,In stock,NonFiction
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,£38.20,Four,In stock,NonFiction
What's It Like in Space?: Stories from Astronauts Who've Been There,£19.60,Two,In stock,NonFiction
The Year of Magical Thinking,£43.04,Two,In stock,NonFiction
The Literature Book (Big Ideas Simply Explained),£17.43,Three,In stock,NonFiction
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,£15.77,One,In stock,NonFiction
Swell: A Year of Waves,£45.58,One,In stock,NonFiction
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,£21.95,Two,In stock,NonFiction
Looking for Lovely: Collecting the Moments that Matter,£29.14,Five,In stock,NonFiction
Let It Out: A Journey Through Journaling,£26.79,Five,In stock,NonFiction
Hamilton: The Revolution,£58.79,Three,In stock,NonFiction
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",£15.06,Four,In stock,NonFiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",£51.75,Five,In stock,NonFiction
Buying In: The Secret Dialogue Between What We Buy and Who We Are,£37.80,Four,In stock,NonFiction
Brain on Fire: My Month of Madness,£49.32,Five,In stock,NonFiction
Abstract City,£56.37,Five,In stock,NonFiction
13 Hours: The Inside Account of What Really Happened In Benghazi,£27.06,One,In stock,NonFiction
The Lonely City: Adventures in the Art of Being Alone,£33.26,Two,In stock,NonFiction
The Diary of a Young Girl,£59.90,Three,In stock,NonFiction
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,£21.21,Three,In stock,NonFiction
Furiously Happy: A Funny Book About Horrible Things,£41.46,Four,In stock,NonFiction
"The Sleep Revolution: Transforming Your Life, One Night at a Time",£11.68,Four,In stock,NonFiction
"Mother, Can You Not?",£16.89,Five,In stock,NonFiction
A Mother's Reckoning: Living in the Aftermath of Tragedy,£19.53,Three,In stock,NonFiction
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",£24.57,Two,In stock,NonFiction
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,£35.92,Two,In stock,NonFiction
"Zero to One: Notes on Startups, or How to Build the Future",£34.06,Three,In stock,NonFiction
Why Not Me?,£17.76,One,In stock,NonFiction
When Breath Becomes Air,£39.36,Two,In stock,NonFiction
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",£28.45,Four,In stock,NonFiction
Smarter Faster Better: The Secrets of Being Productive in Life and Business,£38.89,Five,In stock,NonFiction
Rising Strong,£21.82,Three,In stock,NonFiction
Man's Search for Meaning,£29.48,Three,In stock,NonFiction
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",£25.06,Two,In stock,NonFiction
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,£12.55,Three,In stock,NonFiction
I Will Find You,£44.21,One,In stock,NonFiction
Brazen: The Courage to Find the You That's Been Hiding,£19.22,Two,In stock,NonFiction
Between the World and Me,£56.91,Four,In stock,NonFiction
Being Mortal: Medicine and What Matters in the End,£55.06,Four,In stock,NonFiction
"A Murder Over a Girl: Justice, Gender, Junior High",£13.20,Three,In stock,NonFiction
For the Love: Fighting for Grace in a World of Impossible Standards,£45.13,Three,In stock,NonFiction
Finding God in the Ruins: How God Redeems Pain,£46.64,Two,In stock,NonFiction
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,£59.45,Four,In stock,NonFiction
In Cold Blood,£49.98,Four,In stock,NonFiction
"Girl, Interrupted",£42.14,Three,In stock,NonFiction
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,£48.67,Two,In stock,NonFiction
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,£25.15,Four,In stock,NonFiction
My Mother Was Nuts,£31.63,Four,In stock,NonFiction
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",£32.35,Three,In stock,NonFiction
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,£38.71,Three,In stock,NonFiction
The Gunning of America: Business and the Making of American Gun Culture,£16.81,Four,In stock,NonFiction
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,£28.23,Two,In stock,NonFiction
God Is Not Great: How Religion Poisons Everything,£27.80,One,In stock,NonFiction
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,£31.95,Three,In stock,NonFiction
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,£50.66,Three,In stock,NonFiction
"Unstuffed: Decluttering Your Home, Mind, and Soul",£58.09,One,In stock,NonFiction
Under the Banner of Heaven: A Story of Violent Faith,£30.00,One,In stock,NonFiction
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",£53.51,One,In stock,NonFiction
The Name of God is Mercy,£37.25,Two,In stock,NonFiction
Stiff: The Curious Lives of Human Cadavers,£36.74,Three,In stock,NonFiction
Spilled Milk: Based on a True Story,£49.51,One,In stock,NonFiction
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",£41.67,Four,In stock,NonFiction
Outliers: The Story of Success,£14.16,One,In stock,NonFiction
Notes from a Small Island (Notes From a Small Island #1),£40.17,One,In stock,NonFiction
Night (The Night Trilogy #1),£13.51,One,In stock,NonFiction
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",£57.83,One,In stock,NonFiction
Letter to a Christian Nation,£22.20,One,In stock,NonFiction
Let's Pretend This Never Happened: A Mostly True Memoir,£45.11,One,In stock,NonFiction
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,£42.38,One,In stock,NonFiction
Into the Wild,£56.70,Five,In stock,NonFiction
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",£28.85,Three,In stock,NonFiction
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,£28.88,Two,In stock,NonFiction
Gratitude,£26.66,Five,In stock,NonFiction
Disrupted: My Misadventure in the Start-Up Bubble,£15.28,Five,In stock,NonFiction
Brave Enough,£51.32,Five,In stock,NonFiction
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",£27.35,Two,In stock,NonFiction
Blink: The Power of Thinking Without Thinking,£21.74,Five,In stock,NonFiction
Black Flags: The Rise of ISIS,£40.87,One,In stock,NonFiction
Are We Smart Enough to Know How Smart Animals Are?,£56.58,One,In stock,NonFiction
A Walk in the Woods: Rediscovering America on the Appalachian Trail,£30.48,Four,In stock,NonFiction
"The Suffragettes (Little Black Classics, #96)",£11.89,Two,In stock,NonFiction
Kindle Paperwhite User's Guide,£34.00,Three,In stock,NonFiction
H is for Hawk,£57.42,Five,In stock,NonFiction
Travels with Charley: In Search of America,£57.82,Five,In stock,NonFiction
The Tumor,£41.56,Five,In stock,NonFiction
The End of the Jesus Era (An Investigation #1),£14.40,One,In stock,NonFiction
"Eat, Pray, Love",£51.32,Three,In stock,NonFiction
